
WLA DX: 65816 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
& = 24bit



"ADC #x" $69
"ADC &" $6F
"ADC &,X" $7F
"ADC (<x)" $72
"ADC (<x),Y" $71
"ADC (<x,S),Y" $73
"ADC (<x,X)" $61
"ADC (x)" $72
"ADC (x),Y" $71
"ADC (x,S),Y" $73
"ADC (x,X)" $61
"ADC <x" $65
"ADC <x,S" $63
"ADC <x,X" $75
"ADC >&" $6F
"ADC >&,X" $7F
"ADC ?" $6D
"ADC ?,X" $7D
"ADC ?,Y" $79
"ADC [<x]" $67
"ADC [<x],Y" $77
"ADC [x]" $67
"ADC [x],Y" $77
"ADC x" $65
"ADC x,S" $63
"ADC x,X" $75
"ADC |?" $6D
"ADC |?,X" $7D
"ADC |?,Y" $79
"AND #x" $29
"AND &" $2F
"AND &,X" $3F
"AND (<x)" $32
"AND (<x),Y" $31
"AND (<x,S),Y" $33
"AND (<x,X)" $21
"AND (x)" $32
"AND (x),Y" $31
"AND (x,S),Y" $33
"AND (x,X)" $21
"AND <x" $25
"AND <x,S" $23
"AND <x,X" $35
"AND >&" $2F
"AND >&,X" $3F
"AND ?" $2D
"AND ?,X" $3D
"AND ?,Y" $39
"AND [<x]" $27
"AND [<x],Y" $37
"AND [x]" $27
"AND [x],Y" $37
"AND x" $25
"AND x,S" $23
"AND x,X" $35
"AND |?" $2D
"AND |?,X" $3D
"AND |?,Y" $39
"ASL <x" $06
"ASL <x,X" $16
"ASL ?" $0E
"ASL ?,X" $1E
"ASL A" $0A
"ASL x" $06
"ASL x,X" $16
"ASL |?" $0E
"ASL |?,X" $1E
"ASL" $0A
"BCC <x" $90
"BCC x" $90
"BCS <x" $B0
"BCS x" $B0
"BEQ <x" $F0
"BEQ x" $F0
"BIT #x" $89
"BIT <x" $24
"BIT <x,X" $34
"BIT ?" $2C
"BIT ?,X" $3C
"BIT x" $24
"BIT x,X" $34
"BIT |?" $2C
"BIT |?,X" $3C
"BMI <x" $30
"BMI x" $30
