
WLA DX: 6809 mnemonics listed in opcode order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit
s = 5bit signed ([-16, +15])



$00 "NEG x"
$03 "COM x"
$04 "LSR x"
$06 "ROR x"
$07 "ASR x"
$08 "ASL x"
$08 "LSL x"
$09 "ROL x"
$0A "DEC x"
$0C "INC x"
$0D "TST x"
$0E "JMP x"
$0F "CLR x"
$1021 "LBRN ?"
$1022 "LBHI ?"
$1023 "LBLS ?"
$1024 "LBCC ?"
$1024 "LBHS ?"
$1025 "LBCS ?"
$1025 "LBLO ?"
$1026 "LBNE ?"
$1027 "LBEQ ?"
$1028 "LBVC ?"
$1029 "LBVS ?"
$102A "LBPL ?"
$102B "LBMI ?"
$102C "LBGE ?"
$102D "LBLT ?"
$102E "LBGT ?"
$102F "LBLE ?"
$103F "SWI2"
$1083 "CMPD #x"
$108C "CMPY #x"
$108E "LDY #x"
$1093 "CMPD x"
$109C "CMPY x"
$109E "LDY x"
$109F "STY x"
$10A300 "CMPD s,X"
$10A320 "CMPD s,Y"
$10A340 "CMPD s,U"
$10A360 "CMPD s,S"
$10A380 "CMPD,X+"
$10A381 "CMPD,X++"
$10A382 "CMPD,-X"
$10A383 "CMPD,--X"
$10A384 "CMPD,X"
$10A385 "CMPD B,X"
$10A386 "CMPD A,X"
$10A388 "CMPD x,X"
$10A389 "CMPD ?,X"
$10A38B "CMPD D,X"
$10A38C "CMPD x,PCR"
$10A38D "CMPD ?,PCR"
$10A391 "CMPD (,X++)"
$10A393 "CMPD (,--X)"
$10A394 "CMPD (,X)"
$10A395 "CMPD (B,X)"
$10A396 "CMPD (A,X)"
$10A398 "CMPD (x,X)"
$10A399 "CMPD (?,X)"
$10A39B "CMPD (D,X)"
$10A39C "CMPD (x,PCR)"
$10A39D "CMPD (?,PCR)"
$10A39F "CMPD (?)"
$10A3A0 "CMPD,Y+"
$10A3A1 "CMPD,Y++"
$10A3A2 "CMPD,-Y"
$10A3A3 "CMPD,--Y"
$10A3A4 "CMPD,Y"
$10A3A5 "CMPD B,Y"
$10A3A6 "CMPD A,Y"
$10A3A8 "CMPD x,Y"
$10A3A9 "CMPD ?,Y"
$10A3AB "CMPD D,Y"
$10A3B1 "CMPD (,Y++)"
$10A3B3 "CMPD (,--Y)"
$10A3B4 "CMPD (,Y)"
$10A3B5 "CMPD (B,Y)"
$10A3B6 "CMPD (A,Y)"
$10A3B8 "CMPD (x,Y)"
$10A3B9 "CMPD (?,Y)"
$10A3BB "CMPD (D,Y)"
$10A3C0 "CMPD,U+"
$10A3C1 "CMPD,U++"
$10A3C2 "CMPD,-U"
$10A3C3 "CMPD,--U"
$10A3C4 "CMPD,U"
$10A3C5 "CMPD B,U"
$10A3C6 "CMPD A,U"
$10A3C8 "CMPD x,U"
$10A3C9 "CMPD ?,U"
$10A3CB "CMPD D,U"
$10A3D1 "CMPD (,U++)"
$10A3D3 "CMPD (,--U)"
$10A3D4 "CMPD (,U)"
$10A3D5 "CMPD (B,U)"
$10A3D6 "CMPD (A,U)"
$10A3D8 "CMPD (x,U)"
$10A3D9 "CMPD (?,U)"
$10A3DB "CMPD (D,U)"
$10A3E0 "CMPD,S+"
$10A3E1 "CMPD,S++"
$10A3E2 "CMPD,-S"
$10A3E3 "CMPD,--S"
$10A3E4 "CMPD,S"
$10A3E5 "CMPD B,S"
$10A3E6 "CMPD A,S"
$10A3E8 "CMPD x,S"
$10A3E9 "CMPD ?,S"
$10A3EB "CMPD D,S"
$10A3F1 "CMPD (,S++)"
$10A3F3 "CMPD (,--S)"
$10A3F4 "CMPD (,S)"
$10A3F5 "CMPD (B,S)"
$10A3F6 "CMPD (A,S)"
$10A3F8 "CMPD (x,S)"
$10A3F9 "CMPD (?,S)"
$10A3FB "CMPD (D,S)"
$10AC00 "CMPY s,X"
$10AC20 "CMPY s,Y"
$10AC40 "CMPY s,U"
$10AC60 "CMPY s,S"
$10AC80 "CMPY,X+"
$10AC81 "CMPY,X++"
$10AC82 "CMPY,-X"
$10AC83 "CMPY,--X"
$10AC84 "CMPY,X"
$10AC85 "CMPY B,X"
$10AC86 "CMPY A,X"
$10AC88 "CMPY x,X"
$10AC89 "CMPY ?,X"
$10AC8B "CMPY D,X"
$10AC8C "CMPY x,PCR"
$10AC8D "CMPY ?,PCR"
$10AC91 "CMPY (,X++)"
$10AC93 "CMPY (,--X)"
$10AC94 "CMPY (,X)"
$10AC95 "CMPY (B,X)"
$10AC96 "CMPY (A,X)"
$10AC98 "CMPY (x,X)"
$10AC99 "CMPY (?,X)"
$10AC9B "CMPY (D,X)"
$10AC9C "CMPY (x,PCR)"
$10AC9D "CMPY (?,PCR)"
$10AC9F "CMPY (?)"
$10ACA0 "CMPY,Y+"
$10ACA1 "CMPY,Y++"
$10ACA2 "CMPY,-Y"
$10ACA3 "CMPY,--Y"
$10ACA4 "CMPY,Y"
$10ACA5 "CMPY B,Y"
