
WLA DX: 8008 mnemonics listed in alphabetical order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit


"ACA" $88
"ACB" $89
"ACC" $8A
"ACD" $8B
"ACE" $8C
"ACH" $8D
"ACI x" $0C
"ACL" $8E
"ACM" $8F
"ADA" $80
"ADB" $81
"ADC" $82
"ADD" $83
"ADE" $84
"ADH" $85
"ADI x" $04
"ADL" $86
"ADM" $87
"CAL ?" $46
"CFC ?" $42
"CFP ?" $5A
"CFS ?" $52
"CFZ ?" $4A
"CPA" $B8
"CPB" $B9
"CPC" $BA
"CPD" $BB
"CPE" $BC
"CPH" $BD
"CPI x" $3C
"CPL" $BE
"CPM" $BF
"CTC ?" $62
"CTP ?" $7A
"CTS ?" $72
"CTZ ?" $6A
"DCB" $09
"DCC" $11
"DCD" $19
"DCE" $21
"DCH" $29
"DCL" $31
"HLT" $FF
"INB" $08
"INC" $10
"IND" $18
"INE" $20
"INH" $28
"INL" $30
"INP 0" $41
"INP 1" $43
"INP 2" $45
"INP 3" $47
"INP 4" $49
"INP 5" $4B
"INP 6" $4D
"INP 7" $4F
"JFC ?" $40
"JFP ?" $58
"JFS ?" $50
"JFZ ?" $48
"JMP ?" $44
"JTC ?" $60
"JTP ?" $78
"JTS ?" $70
"JTZ ?" $68
"LAB" $C1
"LAC" $C2
"LAD" $C3
"LAE" $C4
"LAH" $C5
"LAI x" $06
"LAL" $C6
"LAM" $C7
"LBA" $C8
"LBB" $C9
"LBC" $CA
"LBD" $CB
"LBE" $CC
"LBH" $CD
"LBI x" $0E
"LBL" $CE
"LBM" $CF
"LCA" $D0
"LCB" $D1
"LCC" $D2
"LCD" $D3
"LCE" $D4
"LCH" $D5
"LCI x" $16
"LCL" $D6
"LCM" $D7
"LDA" $D8
"LDB" $D9
"LDC" $DA
"LDD" $DB
"LDE" $DC
"LDH" $DD
"LDI x" $1E
"LDL" $DE
"LDM" $DF
"LEA" $E0
"LEB" $E1
"LEC" $E2
"LED" $E3
"LEE" $E4
"LEH" $E5
"LEI x" $26
"LEL" $E6
"LEM" $E7
"LHA" $E8
"LHB" $E9
"LHC" $EA
"LHD" $EB
"LHE" $EC
"LHH" $ED
"LHI x" $2E
"LHL" $EE
"LHM" $EF
"LLA" $F0
"LLB" $F1
"LLC" $F2
"LLD" $F3
"LLE" $F4
"LLH" $F5
"LLI x" $36
"LLL" $F6
"LLM" $F7
"LMA" $F8
"LMB" $F9
"LMC" $FA
"LMD" $FB
"LME" $FC
"LMH" $FD
"LMI x" $2E
"LML" $FE
"NDA" $A0
"NDB" $A1
"NDC" $A2
"NDD" $A3
"NDE" $A4
"NDH" $A5
"NDI x" $24
"NDL" $A6
"NDM" $A7
"NOP" $C0
"ORA" $B0
"ORB" $B1
"ORC" $B2
"ORD" $B3
"ORE" $B4
"ORH" $B5
"ORI x" $34
"ORL" $B6
"ORM" $B7
"OUT 10" $55
"OUT 11" $57
"OUT 12" $59
"OUT 13" $5B
"OUT 14" $5D
"OUT 15" $5F
"OUT 16" $61
"OUT 17" $63
"OUT 18" $65
"OUT 19" $67
"OUT 20" $69
"OUT 21" $6B
"OUT 22" $6D
"OUT 23" $6F
"OUT 24" $71
"OUT 25" $73
"OUT 26" $75
"OUT 27" $77
"OUT 28" $79
"OUT 29" $7B
"OUT 30" $7D
"OUT 31" $7F
"OUT 8" $51
"OUT 9" $53
"RAL" $12
"RAR" $1A
"RET" $07
"RFC" $03
"RFP" $1B
"RFS" $13
"RFZ" $0B
"RLC" $02
"RRC" $0A
"RST 0" $05
"RST 1" $0D
"RST 2" $15
"RST 3" $1D
"RST 4" $25
"RST 5" $2D
"RST 6" $35
"RST 7" $3D
"RTC" $23
"RTP" $3B
"RTS" $33
"RTZ" $2B
"SBA" $98
"SBB" $99
"SBC" $9A
"SBD" $9B
"SBE" $9C
"SBH" $9D
"SBI x" $1C
"SBL" $9E
"SBM" $9F
"SUA" $90
"SUB" $91
"SUC" $92
"SUD" $93
"SUE" $94
"SUH" $95
"SUI x" $14
"SUL" $96
"SUM" $97
"XRA" $A8
"XRB" $A9
"XRC" $AA
"XRD" $AB
"XRE" $AC
"XRH" $AD
"XRI x" $2C
"XRL" $AE
"XRM" $AF
