
WLA DX: 8008 mnemonics listed in opcode order.

If you notice any errors or something is missing, please
open an issue @ https://github.com/vhelin/wla-dx


x = 8bit
? = 16bit


$02 "RLC"
$03 "RFC"
$04 "ADI x"
$05 "RST 0"
$06 "LAI x"
$07 "RET"
$08 "INB"
$09 "DCB"
$0a "RRC"
$0b "RFZ"
$0c "ACI x"
$0d "RST 1"
$0e "LBI x"
$10 "INC"
$11 "DCC"
$12 "RAL"
$13 "RFS"
$14 "SUI x"
$15 "RST 2"
$16 "LCI x"
$18 "IND"
$19 "DCD"
$1a "RAR"
$1b "RFP"
$1c "SBI x"
$1d "RST 3"
$1e "LDI x"
$20 "INE"
$21 "DCE"
$23 "RTC"
$24 "NDI x"
$25 "RST 4"
$26 "LEI x"
$28 "INH"
$29 "DCH"
$2b "RTZ"
$2c "XRI x"
$2d "RST 5"
$2e "LHI x"
$2e "LMI x"
$30 "INL"
$31 "DCL"
$33 "RTS"
$34 "ORI x"
$35 "RST 6"
$36 "LLI x"
$3b "RTP"
$3c "CPI x"
$3d "RST 7"
$40 "JFC ?"
$41 "INP 0"
$42 "CFC ?"
$43 "INP 1"
$44 "JMP ?"
$45 "INP 2"
$46 "CAL ?"
$47 "INP 3"
$48 "JFZ ?"
$49 "INP 4"
$4a "CFZ ?"
$4b "INP 5"
$4d "INP 6"
$4f "INP 7"
$50 "JFS ?"
$51 "OUT 8"
$52 "CFS ?"
$53 "OUT 9"
$55 "OUT 10"
$57 "OUT 11"
$58 "JFP ?"
$59 "OUT 12"
$5a "CFP ?"
$5b "OUT 13"
$5d "OUT 14"
$5f "OUT 15"
$60 "JTC ?"
$61 "OUT 16"
$62 "CTC ?"
$63 "OUT 17"
$65 "OUT 18"
$67 "OUT 19"
$68 "JTZ ?"
$69 "OUT 20"
$6a "CTZ ?"
$6b "OUT 21"
$6d "OUT 22"
$6f "OUT 23"
$70 "JTS ?"
$71 "OUT 24"
$72 "CTS ?"
$73 "OUT 25"
$75 "OUT 26"
$77 "OUT 27"
$78 "JTP ?"
$79 "OUT 28"
$7a "CTP ?"
$7b "OUT 29"
$7d "OUT 30"
$7f "OUT 31"
$80 "ADA"
$81 "ADB"
$82 "ADC"
$83 "ADD"
$84 "ADE"
$85 "ADH"
$86 "ADL"
$87 "ADM"
$88 "ACA"
$89 "ACB"
$8a "ACC"
$8b "ACD"
$8c "ACE"
$8d "ACH"
$8e "ACL"
$8f "ACM"
$90 "SUA"
$91 "SUB"
$92 "SUC"
$93 "SUD"
$94 "SUE"
$95 "SUH"
$96 "SUL"
$97 "SUM"
$98 "SBA"
$99 "SBB"
$9a "SBC"
$9b "SBD"
$9c "SBE"
$9d "SBH"
$9e "SBL"
$9f "SBM"
$a0 "NDA"
$a1 "NDB"
$a2 "NDC"
$a3 "NDD"
$a4 "NDE"
$a5 "NDH"
$a6 "NDL"
$a7 "NDM"
$a8 "XRA"
$a9 "XRB"
$aa "XRC"
$ab "XRD"
$ac "XRE"
$ad "XRH"
$ae "XRL"
$af "XRM"
$b0 "ORA"
$b1 "ORB"
$b2 "ORC"
$b3 "ORD"
$b4 "ORE"
$b5 "ORH"
$b6 "ORL"
$b7 "ORM"
$b8 "CPA"
$b9 "CPB"
$ba "CPC"
$bb "CPD"
$bc "CPE"
$bd "CPH"
$be "CPL"
$bf "CPM"
$c0 "NOP"
$c1 "LAB"
$c2 "LAC"
$c3 "LAD"
$c4 "LAE"
$c5 "LAH"
$c6 "LAL"
$c7 "LAM"
$c8 "LBA"
$c9 "LBB"
$ca "LBC"
$cb "LBD"
$cc "LBE"
$cd "LBH"
$ce "LBL"
$cf "LBM"
$d0 "LCA"
$d1 "LCB"
$d2 "LCC"
$d3 "LCD"
$d4 "LCE"
$d5 "LCH"
$d6 "LCL"
$d7 "LCM"
$d8 "LDA"
$d9 "LDB"
$da "LDC"
$db "LDD"
$dc "LDE"
$dd "LDH"
$de "LDL"
$df "LDM"
$e0 "LEA"
$e1 "LEB"
$e2 "LEC"
$e3 "LED"
$e4 "LEE"
$e5 "LEH"
$e6 "LEL"
$e7 "LEM"
$e8 "LHA"
$e9 "LHB"
$ea "LHC"
$eb "LHD"
$ec "LHE"
$ed "LHH"
$ee "LHL"
$ef "LHM"
$f0 "LLA"
$f1 "LLB"
$f2 "LLC"
$f3 "LLD"
$f4 "LLE"
$f5 "LLH"
$f6 "LLL"
$f7 "LLM"
$f8 "LMA"
$f9 "LMB"
$fa "LMC"
$fb "LMD"
$fc "LME"
$fd "LMH"
$fe "LML"
$ff "HLT"
